,logfile,n_errors,errors,F-test,dtseries,csv,scan,parcellated,PID
1745,../log/hcp1st-2538470_616.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1293349_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1293349_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1293349
1746,../log/hcp1st-2538470_617.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1294755_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1294755_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1294755
1747,../log/hcp1st-2538470_618.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1295050_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1295050_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1295050
1748,../log/hcp1st-2538470_619.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1296456_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1296456_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1296456
1750,../log/hcp1st-2538470_620.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1305936_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1305936_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1305936
1751,../log/hcp1st-2538470_621.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1306130
1752,../log/hcp1st-2538470_622.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1306130
1753,../log/hcp1st-2538470_623.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1306130_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1306130
1755,../log/hcp1st-2538470_624.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1314331_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1314331_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1314331
1757,../log/hcp1st-2538470_625.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1315737_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1315737_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1315737
1758,../log/hcp1st-2538470_626.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1320932_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1320932_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1320932
1760,../log/hcp1st-2538470_627.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1321429
1761,../log/hcp1st-2538470_628.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1321429
1763,../log/hcp1st-2538470_630.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1322835
1764,../log/hcp1st-2538470_629.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1321429_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1321429
1765,../log/hcp1st-2538470_631.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1322835
1769,../log/hcp1st-2538470_632.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1322835_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1322835
1770,../log/hcp1st-2538470_633.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1327744
1771,../log/hcp1st-2538470_634.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1327744
1772,../log/hcp1st-2538470_635.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1327744_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1327744
1773,../log/hcp1st-2538470_636.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328241
1774,../log/hcp1st-2538470_637.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328241
1775,../log/hcp1st-2538470_638.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328241_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328241
1779,../log/hcp1st-2538470_639.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328948
1780,../log/hcp1st-2538470_640.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328948
1781,../log/hcp1st-2538470_641.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1328948_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1328948
1782,../log/hcp1st-2538470_642.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1330228
1785,../log/hcp1st-2538470_643.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1330228
1786,../log/hcp1st-2538470_644.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330228_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1330228
1787,../log/hcp1st-2538470_645.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330733_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1330733_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1330733
1788,../log/hcp1st-2538470_646.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1342033_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1342033_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1342033
1792,../log/hcp1st-2538470_647.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1344845_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1344845_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1344845
1797,../log/hcp1st-2538470_648.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1346849
1799,../log/hcp1st-2538470_649.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V2_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V2_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1346849
1800,../log/hcp1st-2538470_650.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1346849_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1346849
1801,../log/hcp1st-2538470_651.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1350638_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1350638_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1350638
1802,../log/hcp1st-2538470_652.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1358149_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1358149_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1358149
1803,../log/hcp1st-2538470_653.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1361441_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1361441_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD1361441
